,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Code
33,-0.20964304,-3.2873206,-0.042863786,-2.8735142,0.94904834,-0.12178779,-0.0491192,0.5537186,0.9554266,-0.75817287,-0.6528125,-0.230001,-0.32106876,-0.13241906,-0.06110238,-0.23775995,2c45
34,1.736227,0.52635187,0.07844998,1.0550339,0.33657944,-0.9344881,0.29705128,-1.0396955,0.21470864,-0.87886333,-0.020314004,-0.17135993,0.32180253,-0.15677787,0.055197287,-0.14077269,a383
35,6.905079,1.4511049,4.6406274,-3.6018136,3.2241058,0.02853809,0.2721748,0.38126332,-1.1129999,1.9078398,0.21043582,-0.35249168,0.46307138,-1.3994628,-0.38250026,0.8443427,2ddb
36,-1.499675,-4.2531767,0.7041924,-0.90486467,-0.5093842,0.654592,0.1381449,1.1204008,-0.11873342,-0.39325634,-0.27939826,0.15669079,0.38157225,0.09671747,-0.29519388,-0.07569349,0e52
37,3.5333266,0.56762666,-1.7676123,-2.128117,-0.2176999,0.11065928,0.46946257,-0.8038044,-0.25547695,-0.48703218,0.13647036,-0.052497827,0.19174612,-0.4888931,0.4711612,-0.019551225,0bee
38,3.4408913,1.1136065,-6.3325486,3.198806,-3.8053632,0.71458936,0.16976513,0.75462055,0.2073562,-0.7667927,-0.6828732,-0.8413681,-1.4755707,1.0114104,-0.29425877,0.104201145,1192
39,-0.033594653,7.6474185,-4.405128,0.16059291,-2.4526553,0.19636448,-3.3033109,2.0655475,1.2518866,-0.12000231,-1.0896326,0.14759068,-0.17641681,3.1332326,-0.12149157,-0.22435287,1179
40,-4.3549423,8.139746,1.1680245,-1.2381357,3.0329647,0.23305786,2.8417745,0.73275965,0.7121942,0.13252741,1.3007236,-1.1949456,0.45843583,-0.23935558,-0.22558242,-0.3403793,114c
41,1.7448237,0.59931666,3.7274227,-2.292085,4.2260833,0.6117088,0.27554864,-0.28998303,-0.8396702,-0.14701518,1.8303741,-1.2572308,0.9086267,0.5291638,0.3425136,-0.088042386,16d4
42,-2.8156528,-3.3547826,0.79547095,-0.1531518,0.39269584,-0.022948835,-0.34479418,1.304958,0.5435117,0.089637116,-0.23824254,-0.18115348,-0.19184795,-0.37437266,0.11401718,-0.3200747,0e8c
43,-1.1663897,-0.07833882,2.2281692,-0.61174685,0.59221464,-0.77601194,0.69178617,0.12343363,1.0391566,0.19370833,-0.9795441,0.03680768,0.17756213,0.46061897,0.84807694,-0.79169756,0267
44,-0.86866814,-3.9372663,1.5818843,-0.9530955,0.97825783,-0.68787116,0.11038565,1.5363457,0.10280858,-0.09801024,0.33014926,-0.170386,-0.5865398,-0.061925642,-0.63383496,-0.1811892,2c9d
45,-3.1081164,-1.424042,-0.7333169,0.8923695,-0.207531,0.3169846,0.67203736,-0.87832046,0.4396573,0.21595715,-0.47070655,-0.69090337,0.04202884,0.18003634,-0.21233791,-0.20829546,a4e5
46,8.993546,2.643915,-0.64766926,3.4325387,2.7685354,2.1042528,-0.9303471,0.7891761,-0.4911795,0.2655091,-0.6849515,0.018768892,0.124324046,-0.20488055,-0.66463244,0.03512689,2470
47,2.8427277,-2.114546,-2.3904593,1.4953916,-0.8592223,-0.4319164,0.6428202,-0.31353924,0.39988026,-0.34063587,0.32272398,-0.25960836,0.3874229,-0.784604,-0.34776723,-0.09309471,a368
48,1.4946145,-1.3736264,3.0845108,-0.30566072,0.22137171,-0.8435891,0.029128304,-0.41675234,-0.30143192,-0.3119283,-0.5657822,0.25131765,0.21904624,0.36789817,-0.07856939,-0.15811865,a35b
49,7.959973,0.25392413,-1.1843808,1.5729377,-0.9436103,0.2293485,-0.6033334,-0.05444383,1.7790018,0.540934,1.5136036,1.0723388,-1.3168405,0.49089777,0.33293554,-0.1155758,2316
50,5.5556197,-2.6217895,-5.11499,1.5583352,1.0045989,0.21147893,0.68985647,-0.7517127,0.14671214,0.9136576,-0.24729398,0.8292996,0.6655721,-0.7862164,-0.5988966,0.009584592,a43d
51,1.3650348,0.7644455,0.022589255,-2.0574079,0.5414608,-0.667421,-2.2847776,-1.3580527,-0.7319224,-0.38773137,-0.40265536,-0.6108277,-0.37000996,0.34926656,0.6571837,-0.32460943,a3c3
52,3.9528105,-1.7355705,-3.1202917,2.4832995,1.1842474,-0.27473408,0.017713442,0.40675566,-0.4387052,1.3430253,-0.68981105,-0.46171126,0.4593507,-0.05725563,-0.7246564,0.026290525,24aa
53,-2.1140392,-1.8621997,1.5834217,0.08198273,-0.27425414,0.19016844,-0.36208886,0.28620097,1.017941,-0.5773553,-0.903033,0.606762,-0.34396583,-0.37209618,-0.527384,0.40459576,0501
54,1.9686013,-7.6248946,-1.8931829,0.09763144,1.042016,1.2161313,-0.14957239,-0.5854772,0.19062679,-1.2324762,-0.36038956,-0.06643664,0.4724683,1.1735821,-0.12209867,-0.006493298,11b2
55,1.8472546,0.72291374,-0.6131477,1.5322943,0.7753554,-2.9122427,0.4397375,-0.18780436,0.6214807,-0.31811297,0.34791008,-0.6498992,0.2945801,-0.64094144,-0.37221858,0.039555337,162e
